Fecha,Total_Value
2026-02-16 04:14,4945.78
2026-02-16 21:34,4945.78
2026-02-17 21:40,4943.49
2026-02-18 21:39,5003.87
2026-02-19 21:38,5007.96
2026-02-20 21:30,5068.27
2026-02-23 21:52,5024.96
2026-02-24 21:40,5047.74
2026-02-25 21:39,5123.22
2026-02-26 21:36,5049.24
2026-02-27 21:34,4896.69
2026-03-02 21:38,4970.02
2026-03-03 21:38,4916.23
2026-03-04 21:39,4983.46
2026-03-05 21:41,4995.4
2026-03-06 21:34,4911.33
2026-03-09 21:37,4966.23
2026-03-10 21:33,4974.31
2026-03-11 21:38,5000.2
2026-03-12 21:38,4917.33
